BASTIER Etienne,Code paysFRA,Patinage de vitesse sur piste courte,1000 m hommes1500 m hommesRelais par équipes mixtes
BATES Evan,Code paysUSA,Patinage artistique,Danse sur glaceÉpreuve par équipes
BATMUNKH Achbadrakh,Code paysMGL,Ski de fond,Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommesSprint classique hommes
BATNA Oskars,Code paysLAT,Hockey sur glace,Hommes
BATOVSKA FIALKOVA Paulina,Code paysSVK,Biathlon,"15 km individuel femmes7,5 km sprint femmes10 km poursuite femmesRelais 4 x 6 km femmesRelais mixte 4 x 6km (H+F)"
BAU Mathias,Code paysDEN,Hockey sur glace,Hommes
BAUDRIT Lore,Code paysFRA,Hockey sur glace,Femmes
BAUER Matyas,Code paysCZE,Ski de fond,"Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommesRelais 4 x 7,5 km hommes50 km classique départ en ligne hommes"
BAUMEISTER Stefan,Code paysGER,Snowboard,Slalom géant parallèle hommes
BAUMGARTNER Nick,Code paysUSA,Snowboard,Snowboard cross hommesSnowboard cross par équipes mixtes
BAUMGARTNER Patrick,Code paysITA,Bobsleigh,Bob à deux hommesBob à quatre
BAUMGARTNER Samuel,Code paysAUT,Ski acrobatique,Freeski halfpipe hommes
BAUR Tobias,Code paysSUI,Ski acrobatique,Ski cross hommes
BEBRISS Arnis,Code paysLAT,Bobsleigh,À déterminer
BECK Madeleine,Code paysLIE,Ski alpin,Slalom femmesSlalom géant femmes
BECKER Tim,Code paysGER,Bobsleigh,À déterminer
BECKERT Patrick,Code paysGER,Patinage de vitesse,5000 m hommesPoursuite par équipes hommes
BEDIR Muhammed Ali,Code paysTUR,Saut à ski,Individuel tremplin normal hommesIndividuel grand tremplin hommesSuper team hommes
BEGUE Nicole,Code paysARG,Ski alpin,Descente femmesSlalom géant femmesSuper-G femmesCombiné alpin par équipes femmes
BEIERL Katrin,Code paysAUT,Bobsleigh,Bob à deux femmesMonobob femmes
BEKKER Phebe,Code paysGBR,Patinage artistique,Danse sur glaceÉpreuve par équipes
BEKTAS Ozan,Code paysLIE,Bobsleigh,À déterminer
BELLEMARE Pierre-Edouard,Code paysFRA,Hockey sur glace,Hommes
BELLINGHAM Phillip,Code paysAUS,Ski alpinisme,Sprint hommesRelais mixte
BELLOIR Mathieu,Code paysFRA,Patinage de vitesse,1500 m hommesDépart groupé hommesPoursuite par équipes hommes
BELSHAW Annika,Code paysUSA,Saut à ski,Individuel tremplin normal femmesIndividuel grand tremplin femmesPar équipes mixtes
BELTOWSKA Pola,Code paysPOL,Saut à ski,Individuel tremplin normal femmesIndividuel grand tremplin femmesPar équipes mixtes
BENDIKA Baiba,Code paysLAT,Biathlon,"15 km individuel femmes7,5 km sprint femmes10 km poursuite femmes12,5 km départ groupé femmesRelais 4 x 6 km femmesRelais mixte 4 x 6km (H+F)"
BENED Camille,Code paysFRA,Biathlon,15 km individuel femmesRelais 4 x 6 km femmes
BENEDIKTSSON Dagur,Code paysISL,Ski de fond,Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommes50 km classique départ en ligne hommesSprint classique hommes
BENNETT Bryce,Code paysUSA,Ski alpin,Descente hommes
BENNETT Sam,Code paysCAN,Hockey sur glace,Hommes
BERANOVA Tereza,Code paysCZE,Ski de fond,Sprint classique femmes
BERGER Lea,Code paysFRA,Hockey sur glace,Femmes
BERGER SABBATEL Marielle,Code paysFRA,Ski acrobatique,Ski cross femmes
BERGLUND Gustaf,Code paysSWE,Ski de fond,Individuel 10 km libre hommesSkiathlon 10 km + 10 km hommes50 km classique départ en ligne hommes
BERGSMA Jorrit,Code paysNED,Patinage de vitesse,5000 m hommes10000 m hommesDépart groupé hommesPoursuite par équipes hommes
BERNI Tim,Code paysSUI,Hockey sur glace,Hommes
BERRA Reto,Code paysSUI,Hockey sur glace,Hommes
BERREITER Anna,Code paysGER,Luge,Simple femmes
BERSET Stefanie,Code paysSUI,Curling,Femmes
BERTRAND Charles,Code paysFRA,Hockey sur glace,Hommes
BERTSCHLER Daniel,Code paysAUT,Bobsleigh,Bob à deux hommesBob à quatre
BERTSCHY Christoph,Code paysSUI,Hockey sur glace,Hommes
BERULAVA Luka,Code paysGEO,Patinage artistique,Patinage en coupleÉpreuve par équipes
BERZINS Gints,Code paysLAT,Luge,Simple hommes
BERZINS Reinis,Code paysLAT,Patinage de vitesse sur piste courte,500 m hommes1000 m hommes
BETTI Chiara,Code paysITA,Patinage de vitesse sur piste courte,500 m femmes1000 m femmesRelais 3000 m femmesRelais par équipes mixtes
BETTI Francesco,Code paysITA,Patinage de vitesse,1000 m hommes1500 m hommes
BEUNE Joy,Code paysNED,Patinage de vitesse,1500 m femmes3000 m femmesPoursuite par équipes femmes
BEYRAMI BAHER Samaneh,Code paysIRI,Ski de fond,Individuel 10 km libre femmes
BI Ye,Code paysCHN,Snowboard,Slalom géant parallèle hommes
BICHON Evan,Code paysCAN,Snowboard,Snowboard cross hommes
